"id","education","experience","major","gender","country","salary"
155,"Bachelors",3,"Others","Man","USA","$40k - $60k"
156,"Masters",15,"Others","Man","USA","$100k - $120k"
157,"PhD",10,"Others","Man","Brazil","$100k - $120k"
158,"Bachelors",4,"Others","Man","Spain","$20k - $40k"
159,"PhD",14,"Others","Man","Others","$80k - $100k"
160,"Others",0,"Others","Man","Others","Less than $20,000"
161,"Bachelors",0,"Mathematics","Man","USA","$140k - $160k"
162,"Masters",4,"Biology","Man","USA","$80k - $100k"
163,"Masters",9,"Others","Man","Brazil","Less than $20,000"
164,"Masters",2,"Others","Man","Mexico","Less than $20,000"
165,"Bachelors",5,"English","Man","Canada","$60k - $80k"
166,"Masters",3,"Others","Man","Others","Less than $20,000"
167,"Masters",4,"Others","Man","Others","$40k - $60k"
168,"Masters",4,"Others","Man","USA","$60k - $80k"
169,"Bachelors",1,"Others","Man","Others","Less than $20,000"
170,"Masters",11,"Others","Man","USA","$200k+"
171,"Masters",4,"Others","Man","Others","$60k - $80k"
172,"Others",2,"Mathematics","Man","USA","$140k - $160k"
173,"PhD",5,"Others","Man","USA","$20k - $40k"
174,"PhD",10,"Others","Man","USA","$200k+"
175,"Masters",3,"Mathematics","Man","United Kingdom","$60k - $80k"
176,"Masters",15,"Economics","Man","Others","$60k - $80k"
177,"Masters",5,"Others","Man","USA","$80k - $100k"
178,"Masters",4,"Others","Man","USA","Others"
179,"Masters",4,"Others","Man","Others","Less than $20,000"
180,"PhD",4,"Others","Man","France","$80k - $100k"
181,"Masters",2,"Physics","Man","United Kingdom","$40k - $60k"
182,"Masters",7,"Biology","Man","Canada","$40k - $60k"
183,"PhD",6,"Others","Man","Mexico","Less than $20,000"
184,"PhD",1,"Physics","Man","Others","$80k - $100k"
185,"Masters",2,"Others","Man","USA","$60k - $80k"
186,"Masters",2,"Others","Man","Germany","Others"
187,"PhD",5,"Others","Man","Mexico","$100k - $120k"
188,"Masters",5,"Others","Man","USA","$160k - $180k"
189,"PhD",4,"Others","Man","Canada","$80k - $100k"
190,"Bachelors",0,"Others","Man","Others","Others"
191,"Masters",3,"Others","Man","United Kingdom","$60k - $80k"
192,"Masters",10,"Mathematics","Man","USA","$100k - $120k"
193,"Masters",2,"Others","Man","Netherlands","$20k - $40k"
194,"Masters",5,"Others","Man","USA","$200k+"
195,"Bachelors",0,"Philosophy","Man","USA","$100k - $120k"
196,"PhD",2,"Others","Man","USA","$80k - $100k"
197,"Masters",3,"Others","Man","France","$40k - $60k"
198,"Bachelors",1,"Others","Man","Mexico","Less than $20,000"
199,"Masters",2,"Others","Man","USA","$180k - $200k"
200,"Others",3,"Others","Man","Others","$20k - $40k"
201,"Others",10,"Business","Man","USA","$120k - $140k"
202,"Bachelors",3,"Others","Man","India","Less than $20,000"
203,"Masters",0,"Others","Man","Others","$20k - $40k"
204,"Masters",2,"Others","Man","Mexico","$20k - $40k"
205,"Masters",6,"Mathematics","Man","USA","$80k - $100k"
206,"Bachelors",6,"Mathematics","Man","USA","$160k - $180k"
207,"Masters",0,"Others","Man","Others","$20k - $40k"
208,"PhD",9,"Others","Man","Others","$160k - $180k"
209,"Others",0,"Others","Man","Brazil","Less than $20,000"
